Country Name,Country Code,Series Name,Series Code,2024 [YR2024]
Argentina,ARG,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,62.9948599
Argentina,ARG,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,41.2619998
Brazil,BRA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,57.0022212
Brazil,BRA,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,39.5782583
Canada,CAN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,76.1173365
Canada,CAN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,80.8871678
China,CHN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,63.2751622
China,CHN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,49.649869
Gabon,GAB,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,61.1647202
Gabon,GAB,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,28.8930255
Germany,DEU,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,68.0170742
Germany,DEU,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,83.7515919
Indonesia,IDN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,55.4895207
Indonesia,IDN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,36.8309801
Japan,JPN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,85.270442
Japan,JPN,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,75.322857
Mexico,MEX,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,53.6732923
Mexico,MEX,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,28.8100291
Norway,NOR,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,81.3235982
Norway,NOR,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,87.5486488
Russian Federation,RUS,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,50.464845
Russian Federation,RUS,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,29.8168147
South Africa,ZAF,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,55.3527432
South Africa,ZAF,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,43.9726469
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 03/18/2026,,,,
