Country Name,Country Code,Series Name,Series Code,2024 [YR2024]
Argentina,ARG,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,62.9948599
Brazil,BRA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,57.0022212
Canada,CAN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,76.1173365
China,CHN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,63.2751622
Gabon,GAB,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,61.1647202
Germany,DEU,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,68.0170742
Indonesia,IDN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,55.4895207
Japan,JPN,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,85.270442
Mexico,MEX,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,53.6732923
Norway,NOR,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,81.3235982
South Africa,ZAF,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,55.3527432
Russian Federation,RUS,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,50.464845
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 03/18/2026,,,,
